หมวดหมู่,โฟลเดอร์ใน Drive,ประเภทในใบปะหน้า,ตัวอย่าง
ค่าสินค้า (ซื้อมาขายไป),ค่าสินค้า (ซื้อมาขายไป),ค่าสินค้าและบริการ,สินค้าที่ซื้อมาเพื่อขายต่อ เช่น เซ็นเซอร์ บอร์ด อุปกรณ์จาก Taobao / 1688 / Shopee
ค่าสินค้า (วัตถุดิบผลิตสินค้า),ค่าสินค้า (วัตถุดิบผลิตสินค้า),ค่าสินค้าและบริการ,ชิ้นส่วน วัสดุ ที่นำไปประกอบเป็นสินค้าของ TESR
ค่าสินค้า (วิจัยพัฒนา-ทดสอบ),ค่าสินค้า (วิจัยพัฒนา-ทดสอบ),ค่าสินค้าและบริการ,อุปกรณ์ทดลอง ชิ้นส่วนทดสอบ ต้นแบบ
ค่าสินค้า (ใช้ในสำนักงาน),ค่าสินค้า (ใช้ในสำนักงาน),ค่าสินค้าและบริการ,ของใช้ในออฟฟิศ อุปกรณ์ที่ไม่ได้ขายต่อ
ค่าวัสดุสำนักงาน เครื่องเขียน สิ่งพิมพ์,ค่าวัสดุสำนักงาน เครื่องเขียน สิ่งพิมพ์,ค่าสินค้าและบริการ,กระดาษ ปากกา หมึกพิมพ์ นามบัตร ป้าย
ค่าโปรแกรม-ค่าสมัครสมาชิก,ค่าโปรแกรม-ค่าสมัครสมาชิก,ค่าสินค้าและบริการ,ซอฟต์แวร์ SaaS โดเมน คลาวด์ AI
ค่าขนส่งสินค้า,ค่าขนส่งสินค้า,ค่าสินค้าและบริการ,ค่าส่งของถึงลูกค้า Kerry / Flash / ไปรษณีย์ ค่าชิปปิ้ง
ใบเสร็จธนาคาร (สินเชื่อ),ใบเสร็จธนาคาร (สินเชื่อ),อื่นๆ,ใบเสร็จผ่อนชำระ ดอกเบี้ย ค่างวดจากธนาคาร
ค่าธรรมเนียมต่างๆ,ค่าธรรมเนียมต่างๆ,อื่นๆ,ค่าธรรมเนียมโอน ค่าธรรมเนียมราชการ ค่าธรรมเนียมแพลตฟอร์ม
ค่าใช้จ่ายธุรกิจขนส่ง TESR Logistics,ค่าใช้จ่ายธุรกิจขนส่ง TESR Logistics,ค่าสินค้าและบริการ,น้ำมัน ทางด่วน ซ่อมรถ อะไหล่ ของหน่วยขนส่ง
ค่าเช่า (โกดัง และอื่นๆ),ค่าเช่า (โกดัง และอื่นๆ),อื่นๆ,ค่าเช่าโกดัง สำนักงาน พื้นที่ อุปกรณ์
ค่าไฟฟ้า-น้ำประปา-โทรศัพท์-อินเตอร์เน็ต,ค่าไฟฟ้า-น้ำประปา-โทรศัพท์-อินเตอร์เน็ต,อื่นๆ,บิลไฟฟ้า น้ำประปา โทรศัพท์ อินเทอร์เน็ต
ค่าจ้าง-ค่าบริการ-ค่าตอบแทน,ค่าจ้าง-ค่าบริการ-ค่าตอบแทน,ค่าสินค้าและบริการ,จ้างช่าง ฟรีแลนซ์ วิทยากร ค่าบริการซ่อม
ค่าเดินทาง-ที่พัก,ค่าเดินทาง-ที่พัก,ค่าพาหนะ,แท็กซี่ Grab น้ำมัน ทางด่วน ตั๋วเดินทาง ที่พัก
ค่าเลี้ยงรับรองลูกค้า,ค่าเลี้ยงรับรองลูกค้า,อื่นๆ,อาหาร ของขวัญ รับรองลูกค้า (ระบุชื่อลูกค้า)
สวัสดิการพนักงาน,สวัสดิการพนักงาน,อื่นๆ,อาหารทีม งานเลี้ยง ของใช้พนักงาน
อื่นๆ,อื่นๆ,อื่นๆ,รายการที่ไม่เข้าหมวดด้านบน (ระบุรายละเอียดให้ชัด)
